Date Time, Monitor ID, Location ID, CO2(ppm), NO2(ppm), PM10(ppm), PM2.5(ppm)
17/05/2022 10:37,1,1,424, , , 
17/05/2022 10:37,1,2, , ,0.001,0.001
17/05/2022 10:38,1,1,414, , , 
17/05/2022 10:38,1,2, , ,0.008,0.001
17/05/2022 10:39,1,1,406, , , 
17/05/2022 10:39,1,2, , ,0,0
17/05/2022 10:40,1,1,404, , , 
17/05/2022 10:40,1,2, , ,0.002,0.001
17/05/2022 10:41,1,1,401, , , 
17/05/2022 10:41,1,2, , ,0.029,0.002
17/05/2022 10:42,1,1,401, , , 
17/05/2022 10:42,1,2, , ,0,0
17/05/2022 10:43,1,1,399, , , 
17/05/2022 10:43,1,2, , ,0.002,0.001
17/05/2022 10:44,1,1,399, , , 
17/05/2022 10:44,1,2, , ,0,0
17/05/2022 10:45,1,1,396, , , 
17/05/2022 10:45,1,2, , ,0,0
17/05/2022 10:46,1,1,396, , , 
17/05/2022 10:46,1,2, , ,0.001,0.001
17/05/2022 10:47,1,1,396, , , 
17/05/2022 10:47,1,2, , ,0.012,0.001
17/05/2022 10:48,1,1,396, , , 
17/05/2022 10:48,1,2, , ,0.001,0.001
17/05/2022 10:49,1,1,396, , , 
17/05/2022 10:49,1,2, , ,0,0
17/05/2022 10:50,1,1,394, , , 
17/05/2022 10:50,1,2, , ,0,0
17/05/2022 10:51,1,1,394, , , 
17/05/2022 10:51,1,2, , ,0.001,0.001
17/05/2022 10:52,1,1,396, , , 
17/05/2022 10:52,1,2, , ,0.001,0.001
17/05/2022 10:53,1,1,394, , , 
17/05/2022 10:53,1,2, , ,0.004,0.001
17/05/2022 10:54,1,1,394, , , 
17/05/2022 10:54,1,2, , ,0.012,0.003
17/05/2022 10:55,1,1,396, , , 
17/05/2022 10:55,1,2, , ,0.001,0.001
17/05/2022 10:56,1,1,394, , , 
17/05/2022 10:56,1,2, , ,0.001,0.001
17/05/2022 10:57,1,1,391, , , 
17/05/2022 10:57,1,2, , ,0,0
17/05/2022 10:58,1,1,394, , , 
17/05/2022 10:58,1,2, , ,0.001,0.001
17/05/2022 10:59,1,1,391, , , 
17/05/2022 10:59,1,2, , ,0,0
17/05/2022 11:00,1,1,391, , , 
17/05/2022 11:00,1,2, , ,0,0
17/05/2022 11:01,1,1,391, , , 
17/05/2022 11:01,1,2, , ,0.001,0.001
17/05/2022 11:02,1,1,391, , , 
17/05/2022 11:02,1,2, , ,0.001,0.001
17/05/2022 11:03,1,1,394, , , 
17/05/2022 11:03,1,2, , ,0.002,0.001
17/05/2022 11:04,1,1,391, , , 
