Date,Time,Total
11/05/2019,0:00:00,292
11/05/2019,1:00:00,114
11/05/2019,2:00:00,84
11/05/2019,3:00:00,85
11/05/2019,4:00:00,71
11/05/2019,5:00:00,51
11/05/2019,6:00:00,70
11/05/2019,7:00:00,189
11/05/2019,8:00:00,309
11/05/2019,9:00:00,477
11/05/2019,10:00:00,517
11/05/2019,11:00:00,562
11/05/2019,12:00:00,549
11/05/2019,13:00:00,565
11/05/2019,14:00:00,592
11/05/2019,15:00:00,529
11/05/2019,16:00:00,491
11/05/2019,17:00:00,530
11/05/2019,18:00:00,509
11/05/2019,19:00:00,556
11/05/2019,20:00:00,376
11/05/2019,21:00:00,327
11/05/2019,22:00:00,438
11/05/2019,23:00:00,337
12/05/2019,0:00:00,293
12/05/2019,1:00:00,128
12/05/2019,2:00:00,84
12/05/2019,3:00:00,116
12/05/2019,4:00:00,58
12/05/2019,5:00:00,41
12/05/2019,6:00:00,62
12/05/2019,7:00:00,111
12/05/2019,8:00:00,174
12/05/2019,9:00:00,296
12/05/2019,10:00:00,421
12/05/2019,11:00:00,479
12/05/2019,12:00:00,542
12/05/2019,13:00:00,572
12/05/2019,14:00:00,538
12/05/2019,15:00:00,511
12/05/2019,16:00:00,505
12/05/2019,17:00:00,519
12/05/2019,18:00:00,460
12/05/2019,19:00:00,439
12/05/2019,20:00:00,382
12/05/2019,21:00:00,298
12/05/2019,22:00:00,347
12/05/2019,23:00:00,261
13/05/2019,0:00:00,168
13/05/2019,1:00:00,46
13/05/2019,2:00:00,21
13/05/2019,3:00:00,71
13/05/2019,4:00:00,45
13/05/2019,5:00:00,77
13/05/2019,6:00:00,220
13/05/2019,7:00:00,436
13/05/2019,8:00:00,521
13/05/2019,9:00:00,499
13/05/2019,10:00:00,433
13/05/2019,11:00:00,429
13/05/2019,12:00:00,438
13/05/2019,13:00:00,437
13/05/2019,14:00:00,443
13/05/2019,15:00:00,453
13/05/2019,16:00:00,485
13/05/2019,17:00:00,560
13/05/2019,18:00:00,543
13/05/2019,19:00:00,461
13/05/2019,20:00:00,412
13/05/2019,21:00:00,304
13/05/2019,22:00:00,325
13/05/2019,23:00:00,201
14/05/2019,0:00:00,147
14/05/2019,1:00:00,45
14/05/2019,2:00:00,40
14/05/2019,3:00:00,74
14/05/2019,4:00:00,35
14/05/2019,5:00:00,80
14/05/2019,6:00:00,188
14/05/2019,7:00:00,426
14/05/2019,8:00:00,529
14/05/2019,9:00:00,480
14/05/2019,10:00:00,422
14/05/2019,11:00:00,439
14/05/2019,12:00:00,471
14/05/2019,13:00:00,499
14/05/2019,14:00:00,482
14/05/2019,15:00:00,504
14/05/2019,16:00:00,538
14/05/2019,17:00:00,589
14/05/2019,18:00:00,573
14/05/2019,19:00:00,529
14/05/2019,20:00:00,409
14/05/2019,21:00:00,330
14/05/2019,22:00:00,372
14/05/2019,23:00:00,234
15/05/2019,0:00:00,159
15/05/2019,1:00:00,55
15/05/2019,2:00:00,31
15/05/2019,3:00:00,69
15/05/2019,4:00:00,43
15/05/2019,5:00:00,68
15/05/2019,6:00:00,210
15/05/2019,7:00:00,406
15/05/2019,8:00:00,473
15/05/2019,9:00:00,472
15/05/2019,10:00:00,435
15/05/2019,11:00:00,475
15/05/2019,12:00:00,484
15/05/2019,13:00:00,538
15/05/2019,14:00:00,484
15/05/2019,15:00:00,507
15/05/2019,16:00:00,525
15/05/2019,17:00:00,579
15/05/2019,18:00:00,586
15/05/2019,19:00:00,522
15/05/2019,20:00:00,427
15/05/2019,21:00:00,312
15/05/2019,22:00:00,383
15/05/2019,23:00:00,254
16/05/2019,0:00:00,176
16/05/2019,1:00:00,55
16/05/2019,2:00:00,35
16/05/2019,3:00:00,80
16/05/2019,4:00:00,42
16/05/2019,5:00:00,76
16/05/2019,6:00:00,197
16/05/2019,7:00:00,429
16/05/2019,8:00:00,500
16/05/2019,9:00:00,463
16/05/2019,10:00:00,405
16/05/2019,11:00:00,429
16/05/2019,12:00:00,441
16/05/2019,13:00:00,501
16/05/2019,14:00:00,456
16/05/2019,15:00:00,500
16/05/2019,16:00:00,491
16/05/2019,17:00:00,636
16/05/2019,18:00:00,583
16/05/2019,19:00:00,513
16/05/2019,20:00:00,427
16/05/2019,21:00:00,314
16/05/2019,22:00:00,346
16/05/2019,23:00:00,226
17/05/2019,0:00:00,187
17/05/2019,1:00:00,63
17/05/2019,2:00:00,31
17/05/2019,3:00:00,86
17/05/2019,4:00:00,44
17/05/2019,5:00:00,70
17/05/2019,6:00:00,186
17/05/2019,7:00:00,437
17/05/2019,8:00:00,511
17/05/2019,9:00:00,475
17/05/2019,10:00:00,488
17/05/2019,11:00:00,523
17/05/2019,12:00:00,561
17/05/2019,13:00:00,620
17/05/2019,14:00:00,557
17/05/2019,15:00:00,549
17/05/2019,16:00:00,549
17/05/2019,17:00:00,599
17/05/2019,18:00:00,645
17/05/2019,19:00:00,579
17/05/2019,20:00:00,450
17/05/2019,21:00:00,396
17/05/2019,22:00:00,420
17/05/2019,23:00:00,330
18/05/2019,0:00:00,257
18/05/2019,1:00:00,110
18/05/2019,2:00:00,65
18/05/2019,3:00:00,82
18/05/2019,4:00:00,50
18/05/2019,5:00:00,41
18/05/2019,6:00:00,86
18/05/2019,7:00:00,168
18/05/2019,8:00:00,341
18/05/2019,9:00:00,486
18/05/2019,10:00:00,559
18/05/2019,11:00:00,524
18/05/2019,12:00:00,605
18/05/2019,13:00:00,610
18/05/2019,14:00:00,526
18/05/2019,15:00:00,516
18/05/2019,16:00:00,578
18/05/2019,17:00:00,534
18/05/2019,18:00:00,535
18/05/2019,19:00:00,511
18/05/2019,20:00:00,436
18/05/2019,21:00:00,297
18/05/2019,22:00:00,436
18/05/2019,23:00:00,355
19/05/2019,0:00:00,295
19/05/2019,1:00:00,117
19/05/2019,2:00:00,68
19/05/2019,3:00:00,96
19/05/2019,4:00:00,49
19/05/2019,5:00:00,38
19/05/2019,6:00:00,62
19/05/2019,7:00:00,104
19/05/2019,8:00:00,162
19/05/2019,9:00:00,291
19/05/2019,10:00:00,430
19/05/2019,11:00:00,449
19/05/2019,12:00:00,520
19/05/2019,13:00:00,612
19/05/2019,14:00:00,545
19/05/2019,15:00:00,521
19/05/2019,16:00:00,533
19/05/2019,17:00:00,499
19/05/2019,18:00:00,471
19/05/2019,19:00:00,422
19/05/2019,20:00:00,387
19/05/2019,21:00:00,280
19/05/2019,22:00:00,331
19/05/2019,23:00:00,204
20/05/2019,0:00:00,171
20/05/2019,1:00:00,40
20/05/2019,2:00:00,20
20/05/2019,3:00:00,53
20/05/2019,4:00:00,32
20/05/2019,5:00:00,81
20/05/2019,6:00:00,197
20/05/2019,7:00:00,457
20/05/2019,8:00:00,490
20/05/2019,9:00:00,450
20/05/2019,10:00:00,467
20/05/2019,11:00:00,433
20/05/2019,12:00:00,491
20/05/2019,13:00:00,513
20/05/2019,14:00:00,444
20/05/2019,15:00:00,525
20/05/2019,16:00:00,511
20/05/2019,17:00:00,587
20/05/2019,18:00:00,557
20/05/2019,19:00:00,450
20/05/2019,20:00:00,345
20/05/2019,21:00:00,294
20/05/2019,22:00:00,340
20/05/2019,23:00:00,204
21/05/2019,0:00:00,145
21/05/2019,1:00:00,49
