,Day,Traffic Lane 1 #,Traffic Lane 2 #,Hour,Total,Mean,Scaled
0,4,0,0,6,123.220634,0.0,0.0
1,4,3,3,8,451.38895,3.0,300.0
2,4,3,0,10,399.3865,1.5,150.0
3,4,3,0,12,449.05832,1.5,150.0
4,4,3,0,14,449.19336,1.5,150.0
5,4,3,3,16,503.96735,3.0,300.0
6,4,3,3,18,517.37646,3.0,300.0
7,4,0,0,20,344.56238,0.0,0.0
8,4,0,0,22,242.99724,0.0,0.0
9,4,0,0,6,123.220634,0.0,0.0
10,4,0,0,8,452.38245,0.0,0.0
11,4,0,0,10,395.7506,0.0,0.0
12,4,0,0,12,441.09875,0.0,0.0
13,4,0,0,14,445.3786,0.0,0.0
14,4,3,3,16,503.96735,3.0,300.0
15,4,0,3,18,516.5296,1.5,150.0
16,4,0,3,20,345.59576,1.5,150.0
17,4,0,0,22,242.99724,0.0,0.0
18,4,0,0,6,123.220634,0.0,0.0
19,4,3,3,8,451.38895,3.0,300.0
20,4,3,3,10,396.4605,3.0,300.0
21,4,3,3,12,442.7958,3.0,300.0
22,4,3,3,14,447.43015,3.0,300.0
23,4,3,3,16,503.96735,3.0,300.0
24,4,3,3,18,517.37646,3.0,300.0
25,4,3,0,20,348.72327,1.5,150.0
26,4,0,0,22,242.99724,0.0,0.0
27,4,0,0,6,123.220634,0.0,0.0
28,4,0,0,8,452.38245,0.0,0.0
29,4,0,0,10,395.7506,0.0,0.0
30,4,0,0,12,441.09875,0.0,0.0
31,4,0,0,14,445.3786,0.0,0.0
32,4,0,0,16,501.94556,0.0,0.0
33,4,0,0,18,515.7134,0.0,0.0
34,4,0,0,20,344.56238,0.0,0.0
35,4,0,0,22,242.99724,0.0,0.0
