Junction Code,Day,Time of the Day,Traffic Lane 1,Traffic Lane 2,Traffic Lane 1 #,Traffic Lane 2 #,Sum
G,Monday,6:00,Green,Green,0,0,0
G,Monday,8:00,Green,Orange,0,3,3
G,Monday,10:00,Orange,Orange,3,3,6
G,Monday,12:00,Orange,Orange,3,3,6
G,Monday,14:00,Orange,Orange,3,3,6
G,Monday,16:00,Orange,Red,3,5,8
G,Monday,18:00,Orange,Orange,3,3,6
G,Monday,20:00,Green,Orange,0,3,3
G,Monday,22:00,Green,Green,0,0,0
G,Tuesday,6:00,Green,Green,0,0,0
G,Tuesday,8:00,Orange,Orange,3,3,6
G,Tuesday,10:00,Orange,Orange,3,3,6
G,Tuesday,12:00,Orange,Orange,3,3,6
G,Tuesday,14:00,Orange,Orange,3,3,6
G,Tuesday,16:00,Orange,Red,3,5,8
G,Tuesday,18:00,Orange,Orange,3,3,6
G,Tuesday,20:00,Green,Orange,0,3,3
G,Tuesday,22:00,Green,Green,0,0,0
G,Wednesday,6:00,Green,Green,0,0,0
G,Wednesday,8:00,Green,Orange,0,3,3
G,Wednesday,10:00,Orange,Orange,3,3,6
G,Wednesday,12:00,Orange,Orange,3,3,6
G,Wednesday,14:00,Orange,Orange,3,3,6
G,Wednesday,16:00,Orange,Red,3,5,8
G,Wednesday,18:00,Orange,Orange,3,3,6
G,Wednesday,20:00,Orange,Orange,3,3,6
G,Wednesday,22:00,Green,Green,0,0,0
G,Thursday,6:00,Green,Green,0,0,0
G,Thursday,8:00,Orange,Orange,3,3,6
G,Thursday,10:00,Orange,Orange,3,3,6
G,Thursday,12:00,Orange,Orange,3,3,6
G,Thursday,14:00,Orange,Orange,3,3,6
G,Thursday,16:00,Orange,Red,3,5,8
G,Thursday,18:00,Orange,Orange,3,3,6
G,Thursday,20:00,Green,Orange,0,3,3
G,Thursday,22:00,Green,Green,0,0,0
G,Friday,6:00,Green,Green,0,0,0
G,Friday,8:00,Orange,Orange,3,3,6
G,Friday,10:00,Orange,Orange,3,3,6
G,Friday,12:00,Orange,Orange,3,3,6
G,Friday,14:00,Orange,Red,3,5,8
G,Friday,16:00,Orange,Red,3,5,8
G,Friday,18:00,Orange,Orange,3,3,6
G,Friday,20:00,Orange,Orange,3,3,6
G,Friday,22:00,Green,Green,0,0,0
G,Saturday,6:00,Green,Green,0,0,0
G,Saturday,8:00,Green,Green,0,0,0
G,Saturday,10:00,Orange,Orange,3,3,6
G,Saturday,12:00,Orange,Orange,3,3,6
G,Saturday,14:00,Orange,Orange,3,3,6
G,Saturday,16:00,Orange,Orange,3,3,6
G,Saturday,18:00,Green,Orange,0,3,3
G,Saturday,20:00,Green,Orange,0,3,3
G,Saturday,22:00,Green,Green,0,0,0
G,Sunday,6:00,Green,Green,0,0,0
G,Sunday,8:00,Green,Green,0,0,0
G,Sunday,10:00,Green,Green,0,0,0
G,Sunday,12:00,Orange,Orange,3,3,6
G,Sunday,14:00,Orange,Orange,3,3,6
G,Sunday,16:00,Green,Orange,0,3,3
G,Sunday,18:00,Green,Orange,0,3,3
G,Sunday,20:00,Green,Green,0,0,0
G,Sunday,22:00,Green,Green,0,0,0
H,Monday,6:00,Green,Green,0,0,0
H,Monday,8:00,Green,Orange,0,3,3
H,Monday,10:00,Orange,Orange,3,3,6
H,Monday,12:00,Orange,Orange,3,3,6
H,Monday,14:00,Orange,Orange,3,3,6
H,Monday,16:00,Orange,Orange,3,3,6
H,Monday,18:00,Orange,Orange,3,3,6
H,Monday,20:00,Orange,Orange,3,3,6
H,Monday,22:00,Green,Green,0,0,0
H,Tuesday,6:00,Green,Green,0,0,0
H,Tuesday,8:00,Green,Orange,0,3,3
H,Tuesday,10:00,Orange,Orange,3,3,6
H,Tuesday,12:00,Orange,Orange,3,3,6
H,Tuesday,14:00,Orange,Orange,3,3,6
H,Tuesday,16:00,Orange,Orange,3,3,6
H,Tuesday,18:00,Orange,Orange,3,3,6
H,Tuesday,20:00,Orange,Orange,3,3,6
H,Tuesday,22:00,Green,Green,0,0,0
H,Wednesday,6:00,Green,Green,0,0,0
H,Wednesday,8:00,Green,Orange,0,3,3
